ID;Bereich;Verbindliche Regel;Gilt für;Prüfung
01;Struktur;Jeder Codex-Entwurf liegt ausschließlich unter Codex/Layout Entwurf N und nutzt gemeinsame Inhalte und Medien aus Shared.;Alle Layouts;Keine doppelten Inhaltsquellen außerhalb layoutbezogener Styles oder Skripte
02;Claude-Trennung;Der Ordner Claude bleibt für Claude reserviert und wird von Codex nicht verändert.;Gesamtprojekt;Claude-Inhalte unverändert
03;Technik;Tailwind aus Shared/vendor/tailwind.min.css und ScrollMagic aus Shared/vendor/ScrollMagic.min.js lokal einbinden.;Alle Seiten;Keine CDN-Abhängigkeit für Tailwind oder ScrollMagic
04;Startvideo;Auf Noir Motion, Signal Atlas und Horizon Signature steuern Scrollimpulse dasselbe träge Video-Intro ab dem echten Frame-1-Poster. start3.mp4 bleibt muted, playsinline und niemals loop. Andere Layouts dürfen ohne Loop automatisch abspielen.;Startseiten;Layout 1, 3 und 5 mit identischem Vorwärts-, Rückwärts- und Nachlaufverhalten prüfen
05;Videotiming;Die vorbereitete Version mit rund zwei Sekunden gekürztem Beginn und circa 1,15-facher Wiedergabegeschwindigkeit verwenden.;Startseiten;Shared/assets/video/start3.mp4 wird referenziert
06;Logo-Intro;Original-Logo zeitverzögert wie auf der Referenzseite mittig über dem Video einblenden und mit dunklem Schwarz-Rot-Verlauf unterstützen. Noir Motion, Signal Atlas und Horizon Signature zeigen vor dem ersten Scrollimpuls unten mittig einen kleinen pulsierenden Scroll-Hinweis, der beim Scrollbeginn weich verschwindet.;Startseiten;Logo-Timing und kollisionsfreien Scroll-Hinweis auf Desktop, Tablet und Mobil prüfen
07;Video-Endzustand;Nach dem einmaligen Videoende verschwindet das Video mit einem weichen Parallax-Übergang nach oben. Der Hero schrumpft dauerhaft zu einem kompakten Schwarz-Rot-Banner mit Logo; Hochscrollen darf das Video nicht erneut zeigen oder zurückspulen.;Noir Motion, Signal Atlas und Horizon Signature;Endzustand bleibt bis zum Neuladen irreversibel
08;Navigation;Navigation auf der Startseite zunächst ausblenden und erst nach dem Herunterscrollen einblenden. Auf Unterseiten sofort sichtbar.;Alle Seiten;Desktop und Mobil testen
09;Anker;Ankerziele müssen die feste Navigationshöhe als Scroll-Offset berücksichtigen.;Alle Seiten;Überschriften werden nicht von der Navigation verdeckt
10;Scrollbewegung;ScrollMagic-Bewegungen der Inhaltssegmente an den realen Scrollfortschritt binden und beim Scrollstopp anhalten. Ausschließlich die Startvideos von Noir Motion, Signal Atlas und Horizon Signature dürfen Eingabestottern mit dem in Regel 23 definierten kurzen und begrenzten Nachlauf weich überbrücken.;Alle Layouts;Keine reine zeitbasierte AOS-Animation und kein ungebremster Nachlauf
11;Scrolltiming;Normale Elemente sollen spätestens um die Bildschirmmitte vollständig animiert sein. Elemente nahe dem Seitenende früher auslösen.;Alle Layouts;Obere und untere Seitenelemente separat prüfen
12;Responsivität;Keine Überlagerung von Bildern, Karten, Texten, Logos oder Navigation auf Desktop, Tablet und Mobil.;Alle Seiten;Mindestens 1440 px, 768 px und 390 px prüfen
13;Text;Nur Inhalte der RailTime-Liveseite verwenden. Erlaubt sind neutrale Navigations- und Handlungsbeschriftungen.;Alle Seiten;Keine erfundenen Unternehmensversprechen
14;Typografie;Kompakte Segmente, gut lesbare Mindestgrößen und keine unnötig riesigen Überschriften oder Leerflächen.;Alle Seiten;Fließtext und Kartenbeschriftungen visuell prüfen
15;Leistungen;Auf der Leistungsseite fünf bebilderte Leistungskacheln über dem Detailbereich zeigen.;Alle Layouts;Jede Leistung besitzt ein sichtbares Bild
16;Akkordeon;Unter den Leistungskacheln ein weich animiertes Akkordeon verwenden. Exakt eine Leistung ist geöffnet; beim Öffnen einer anderen schließt die vorherige.;Alle Layouts;Klick- und Tastaturtest
17;Kontakt;Jede Kontaktseite enthält ein responsives Kontaktformular mit Name, E-Mail, Telefon, Leistung, Einsatzort und Nachricht.;Alle Layouts;Pflichtfelder und E-Mail-Aktion prüfen
18;Footer;Jede Seite erhält einen professionellen Footer mit Original-Logo, RailTime-Slogan, Leistungsmenü, Kontakt und Rechtlichem.;Alle Seiten;Kontrast und Links prüfen
19;Zeichensatz;Alle PHP-, HTML-, CSS-, JS- und CSV-Dateien sind konsistent in UTF-8 ohne beschädigte Umlaute.;Gesamtprojekt;Automatische Suche nach typischen Mojibake-Zeichen
20;Live-Vorschau;Die Layoutübersicht bindet jede Seite als live gerenderte iframe-Vorschau über die öffentlichen Pfade /RailTime/layouts/N ein. Screenshot-Ordner in den Layoutordnern sind nicht mehr erforderlich und werden nicht mehr gepflegt; nach wesentlichen Designänderungen werden die Seiten stattdessen direkt im Browser visuell geprüft.;Alle Layouts;iframe-Vorschau lädt Start- und Unterseiten fehlerfrei
21;Layout 5 Referenz;Layout 5 orientiert sich an der ruhigen Editorial-Typografie, modularen Seitenstruktur und klaren Formgestaltung des Webflow-Bestsellers Timber, ohne dessen Inhalte oder Assets zu kopieren.;Layout 5;Referenz https://webflow.com/templates/html/timber-ui-kit-website-template
22;Kollisionsfreiheit;Im Endzustand jeder Animation dürfen sich Logo, Text, Bild, Navigation oder Karten niemals überlagern. Animierte Elemente erhalten getrennte Endzonen und werden bei Bedarf nacheinander umpositioniert.;Alle Layouts;Endzustände bei Desktop, Tablet und Mobil visuell prüfen
23;Video-Wiedergabe;Noir Motion, Signal Atlas und Horizon Signature verwenden identisch die hybride Trägheitssteuerung aus Shared/scripts/scroll-video-engine.js: Die ersten 30 Prozent des MP4 werden übersprungen und der verbleibende Clip wird logisch auf 0 bis 100 Prozent normiert. Scrollfortschritt und native Abspielrate werden mit Faktor 1,15 beschleunigt, die resultierende Abspielgeschwindigkeit bleibt zwischen 0,7475 und 1,15. Scrollimpulse setzen ein begrenztes Ziel, native Wiedergabe überbrückt kurze Eingabepausen weich und stoppt nach einem kurzen Nachlauf. Rückwärtsscrollen führt kontrolliert bis höchstens zur 30-Prozent-Startmarke zurück. Bis zum tatsächlich erreichten Endframe bleibt die Seite vollständig gesperrt; erst nach dem Banner-Übergang wird normales Seitenscrollen freigegeben. Der abgeschlossene Endzustand bleibt irreversibel. Andere Layouts dürfen die dokumentierte One-Shot-Steuerung verwenden.;Alle Layouts;Layout 1, 3 und 5 mit 30-Prozent-Startmarke, einzelnen, stockenden und schnellen Impulsen sowie Reverse, Geschwindigkeitslimit 1,15, Endframe und Scrollfreigabe prüfen
24;Gemeinsame Quelle;Texte, Navigation, Footer, Bilder, Videos, Logos, Kartenmodul und wiederverwendbare Segmente liegen ausschließlich unter Shared.;Codex und Claude;Keine Kopien gemeinsamer Dateien in Layoutordnern
25;Minimaler Layoutordner;Ein Layout enthält als bearbeitbare Quelle nur die PHP-Seitendateien, optional eine partials.php, assets/layout.css, assets/motion.js und layout.csv. Alles Wiederverwendbare wird aus Shared geladen. Statische HTML-Dateien sind ausschließlich als nicht führende Kompatibilitäts-Demo für direkte Dateiaufrufe zulässig und müssen dieselben Shared-Assets referenzieren.;Alle Layouts;PHP bleibt Quelle der Wahrheit und HTML-Demos enthalten keine eigenen Medien- oder Skriptkopien
26;Projektquelle;C:\xampp\htdocs\RailTime ist die einzige aktive RailTime-Designquelle. Alte RealTime- und F:-Projektkopien werden nicht weiterverwendet.;Gesamtprojekt;Links und Browserprüfung ausschließlich über localhost/RailTime
27;Individuelles Design;Jedes Layout gestaltet Startseite und alle Unterseiten konzeptionell individuell. Die Unterscheidung erfolgt über Layout-Variablen (Raster, Komposition, Scroll- und Bewegungseffekte, Typografie-Rhythmus, Textbehandlung, Interaktion), nicht über die Farbwelt. Markup-Kompositionen anderer Layouts oder gemeinsamer Render-Komponenten dürfen nicht optisch erkennbar wiederverwendet werden.;Alle Layouts;Direkter Sichtvergleich der Layouts untereinander
28;Template-Referenz;Jedes Layout orientiert sich an einem hochwertigen kommerziellen Template (z. B. Webflow oder ThemeForest) als frei nachempfundene Referenz für Struktur, Komposition und Anmutung — niemals für die Farbgebung, die durch die feste CI vorgegeben ist. Keine Inhalte oder Assets kopieren. Die Referenz wird in der layout.csv dokumentiert.;Alle Layouts;Referenz-URL in layout.csv vorhanden
29;Layout-Beschreibung;Jeder Layoutordner enthält eine layout.csv, die Layoutname, Ersteller, Konzept, Template-Referenz, Typografie, Farben, Seitenaufbau, Bewegung und Datenquellen beschreibt.;Alle Layouts;layout.csv im Layoutordner vorhanden und aktuell
30;Übersichts-Links;Alle Layout-Links der Entwurfsübersicht öffnen in einem neuen Tab (target _blank mit rel noopener).;Hauptübersicht;Linkverhalten im Browser prüfen
31;Übersichts-Vorschau;Jede Layoutkarte zeigt live gerenderte iframe-Vorschauen für Desktop, Tablet und Smartphone. Ein einzelner Klick auf ein Mini-Gerät öffnet ein großes Modal direkt in derselben Geräteform. Das Modal besitzt oben eine Geräteauswahl, sein iframe bleibt vollständig bedienbar und ein Klick auf den freien Bühnenhintergrund schließt es zurück zur unveränderten Karte. Vorschau öffnen startet das Modal; Live ansehen öffnet das Layout in einem neuen Tab. Die manuelle Seitennavigation der Karte synchronisiert alle drei Mini-Geräte. Solange ein träges Video-Intro aktiv ist, leitet der Slider Mausradimpulse synchron an alle drei Videos weiter; danach scrollt er wieder synchron durch den Seiteninhalt. Ein Refresh-Icon oben rechts lädt alle drei Karten-iframes gemeinsam neu und setzt Videos, Scrollpositionen und Animationen zurück. Auf Tablet und Mobil bleiben Tablet und Smartphone wie auf Desktop über die unteren Ecken des Desktop-Geräts gelegt und werden nicht an den äußeren Kartenrand getrennt.;Hauptübersicht;Ein-Klick-Gerätewahl, responsive Geräteüberlagerung, synchrones Video-Scrubbing, interaktive iframe-Navigation, Außenklick, Rückkehr zur Karte, Buttonziele und gemeinsamer Drei-Geräte-Refresh prüfen
32;Dunkle Grundtonalität;Jedes Layout ist überwiegend dunkel gehalten (Anthrazit, Schwarz oder ein anderer dunkler Grundton). Der dunkle Ton dominiert die Seite; helle bzw. weiße Segmente sind ausdrücklich erlaubt und erwünscht, um Rhythmus und Kontrast zu schaffen, dürfen aber nicht die Gesamtwirkung bestimmen. Wie hell/dunkel im Detail gestaltet wird, variiert je Layout.;Alle Layouts;Gesamteindruck jeder Seite ist dunkeldominant, helle Segmente bleiben Akzent
33;Feste CI-Palette;Farbkombination und Corporate Identity der Liveseite rail-time.de bleiben in jedem Layout unverändert erhalten: Signalrot #e4002b, dunkles Anthrazit/Schwarz (#090c11) und Weiß/Hell (#f4f2ed) als einzige Grundfarben. Keine erfundenen Zusatz- oder abweichenden Akzentfarben, kein veränderter Rotton. Rot bleibt der einzige Farbakzent.;Alle Layouts;Farbwerte gegen Shared/styles/design-system.css und die Liveseite prüfen
34;Konzeptioneller Spielraum;Die Layout-Regeln legen ausschließlich konzeptionelle Gestaltung fest — Struktur und Raster, Scroll- und Bewegungseffekte, Typografie-Rhythmus und Textbehandlung, Komposition und Interaktion. Die Farbwelt ist keine Gestaltungs- oder Unterscheidungsvariable, sondern durch die feste CI vorgegeben.;Alle Layouts;Layout-Konzepte unterscheiden sich strukturell, nicht farblich
35;Layoutnamen;Die fünf Codex-Layouts heißen Noir Motion, Signal Compact, Signal Atlas, Atlas Editorial und Horizon Signature. Der individuelle Layoutname steht zusätzlich in der layout.csv des jeweiligen Entwurfs.;Codex Layout 1 bis 5;Übersicht liest den Layoutnamen aus layout.csv
36;Deutschlandkarte im unteren Startseitensegment;Die Deutschlandkarte steht auf jeder Startseite links neben dem zugehörigen unteren Standort-, Ausrüstungs- oder Techniksegment. Ein zusätzliches Foto oder Bild in diesem Segment entfällt, damit Karte und Text die klare Zweiteilung bilden.;Alle Layouts;Karte links, Text rechts, kein zusätzliches Segmentbild auf Desktop;mobil untereinander ohne Überlagerung
37;Kartenformat der Layoutübersicht;Die horizontale Layoutauswahl verwendet großzügige Karten mit ungefähr 86 Prozent der Desktopbreite und einer dynamischen Höhe aus dem real verfügbaren Browserfenster ohne starre 900-Pixel-Begrenzung. Ab 1800 Pixel Breite wächst die Karte auf ungefähr 88 Prozent. Die aktive Karte steht räumlich vorne; angrenzende Karten bleiben mit mindestens guter Grundhelligkeit, gegenläufiger Perspektive und zurückgesetzter Tiefe sichtbar. Auf kleineren Ansichten wächst die Karte bis ungefähr 94 bis 96 Prozent der Breite. Die ID der aktuell zentrierten Karte wird in sessionStorage gespeichert und nach einem Neuladen innerhalb derselben Browser-Session wieder zentriert.;Hauptübersicht;Große und ultrabreite Monitore, dynamische Fensterhöhe, sichtbare perspektivische Nachbarkarten, responsive Skalierung und Session-Wiederherstellung prüfen
38;Oeffentliche URLs;Oeffentliche Vorschauen zeigen niemals Codex, Claude, Dateiendungen oder physische Ordnernamen in der URL. Verwendet werden ausschliesslich nummerierte Pfade unter /RailTime/layouts/1 bis /RailTime/layouts/7 inklusive sauberer Unterseitenpfade.;Gesamtprojekt;Browserpfade auf Start- und Unterseiten pruefen
39;Video-Poster;Jede Videoeinbindung nutzt vor dem Laden sichtbar das echte erste Videoframe Shared/assets/images/start3-first-frame.png als Poster. Das erste sichtbare Bild darf niemals ein Ersatzfoto, schwarz oder leer sein.;Alle Startseiten;Poster-Attribut und Initialanzeige im Browser pruefen
40;Scroll-Video-Engine;Die gemeinsame Video-Steuerung liegt global unter Shared/scripts/scroll-video-engine.js und wird nicht in Layoutordner kopiert. Sie stellt eine native One-Shot-Steuerung und für Noir Motion, Signal Atlas und Horizon Signature dieselbe hybride Scroll-Trägheitssteuerung bereit. mediaStartProgress definiert den abgeschnittenen Clipanfang, speedMultiplier skaliert Scroll- und Abspielprogression gemeinsam. Vorwärtsbewegung nutzt native Videowiedergabe mit begrenzter Rate; gezielte Zeitpositionierung wird nur für Initialisierung am Clipanfang, kontrolliertes Rückwärtsfahren und Endframe-Sicherung eingesetzt. Einzelbilder und GIF-Sequenzen sind ausgeschlossen.;Scroll-Video-Layouts;Identischer Start bei 30 Prozent, identische 1,15-fache Progression, geringe Decoderlast und dauerhaft kompakter Endzustand in Layout 1, 3 und 5 prüfen
